Main,ScriptKey,LineKey,Background,Actor,AnimState,DotAnim,DotExpression,TextType,KorText,EngText,NextLineKey,AnimScene,AfterScript,DeathNote
1,67,1,main_tablecup,Player,Main,body_default1,face_blink,text,뭉치야! 무슨 일이야!,Dot! What’s wrong!,2,,,
1,67,2,main_tablecup,Dot,Main,body_default1,face_noblink,text,… 아. <name>.,… Oh. <name>.,3,,,
1,67,3,main_tablecup,Dot,Main,body_default1,face_noblink,text,이런 모습은 결코 들키고 싶지 않았는데.,I didn’t want you to see me like this.,4,,,
1,67,4,main_tablecup,Dot,Main,body_default1,face_blink,text,몸이 녹아서 빠져나올 수가 없었어.,"My body has melted, and I can’t get out.",5,,,
1,67,5,main_tablecup,Player,Main,body_default1,face_noblink,text,…….,…….,6,,,
1,67,6,main_tablecup,Player,Main,body_default1,face_noblink,selection,꺼내 줄까?|꺼내 줄게.,Need my help?|I’ll help you.,7|7,,,passive|active
1,67,7,main_tablecup,Dot,Main,body_default1,face_blink,text,"아니, 괜찮아. 네가 이 물컹하고\n끈적한 걸 만지지 않았으면 좋겠어.","No, that’s alright. I don’t want you\ntouching this mushy, sticky stuff.",8,,,
1,67,8,main_tablecup,Dot,Main,body_default1,face_noblink,text,네 피부에 이 검정이 옮을 것만\n같아. 그렇게 된다면 난 정말이지….,"All this darkness might blemish your skin.\nIf that happens, I’d just…",9,,,
1,67,9,main_tablecup,Player,Main,body_default1,face_noblink,text,….,….,10,,,
1,67,10,main_tablecup,Player,Main,body_default1,face_blink,selection,물에 있으면 춥지 않아?|물에 있으면 아프지 않아?,Isn’t it cold in the water?|Doesn’t it hurt in the water?,11|11,,,
1,67,11,main_tablecup,Dot,Main,body_default1,face_noblink,text,처음에는 살이 에이는 추위를\n느꼈지. 하지만 꽤 무뎌졌어.,At first the smarting cold scraped its nails down\nmy skin. But now I’m more or less numb.,12,,,
1,67,12,main_tablecup,Dot,Main,body_default1,face_noblink,text,처음에는 신경 하나하나가 부르짖으며\n고통을 호소했지. 하지만 꽤 무뎌졌어.,At first each and every one of my nerves\nscreamed in agony. But now I’m more or less numb.,13,,,
1,67,13,main_tablecup,Dot,Main,body_default1,face_blink,text,"지금은 그냥, 나를 이대로\n이대로 내버려 두면 좋겠어.","I just, want you to leave me alone.",14,,,
1,67,14,main_tablecup,Player,Main,body_default1,face_noblink,selection,… 컵 속에는 왜 들어간 거야?|무슨 일인지 물어봐도 될까.,… Why are you in the cup?|Can I ask what’s going on?,15|15,,,active|passive
1,67,15,main_tablecup,Dot,Main,body_default1,face_noblink,text,"그러니까, 그러니까….","It’s, it’s….",16,,,
1,67,16,main_tablecup,Dot,Main,body_default1,face_blink,text,"오늘 나는… 죽음을, 죽음을 만났어.","I… I met, death, today.",17,,,
1,67,17,main_tablecup,Dot,Main,body_default1,face_noblink,text,소리 없이 하수구 속에 도사리던 ‘죽음’을.,"Death, silently lurking in the sewers.",18,,,
1,67,18,main_tablecup,Player,Main,body_default1,face_noblink,text,…….,…….,19,,,
1,67,19,main_tablecup,Player,Main,body_default1,face_blink,text,…….,…….,20,,,
1,67,20,main_tablecup,Dot,Main,body_default1,face_noblink,text,"오늘은 그 누구의 꿈도 들여다보고 싶지 않아서,\n홀로 아스팔트 위를 기어다니고 있었어.","I didn’t feel like looking into anyone’s dreams,\nso I was crawling on the asphalt on my own.",21,,,
1,67,21,main_tablecup,Dot,Main,body_default1,face_noblink,text,신호등이 두 번 깜빡였던가. 뾰족한 구두가\n옆을 지나갔던가…. 아마 그때였을 거야.,"I think the lights blinked twice, or a pointy\nshoe passed by… when it happened.",22,,,
1,67,22,main_tablecup,Dot,Main,body_default1,face_blink,text,내가 하수구 속에 도사리던 ‘죽음’을 만난 것은.,When I met death lurking in the sewers.,23,1,,
1,67,23,main_tablecup,Dot,Main,body_default1,face_noblink,text,"죽음을 똑바로 바라보는 건 예상했던 것만큼,\n아니 그보다 몇 배는 더 괴로웠어.","It was agonizing to look death straight on,\njust as I imagined. No, so much worse.",24,,,
1,67,24,main_tablecup,Dot,Main,body_default1,face_noblink,text,"나는, 나는, 나는…","I, I, I…",25,,,
1,67,25,main_tablecup,Dot,Main,body_default1,face_blink,text,아주 작은 희망 하나로\n내 검은 몸을 버텨 왔는데.,"I’ve tolerated this dark body, hanging\nonto the thinnest thread of hope.",26,,,
1,67,26,main_tablecup,Dot,Main,body_default1,face_noblink,text,그 희망은 난도질되었어. 아침이면 가차 없이\n막을 내리는 간밤의 꿈처럼… 휘발되었지. 영영.,"But now, like a dream retreating with no mercy\nin the morning… it’s extinguished. For good.",27,,,
1,67,27,main_tablecup,Dot,Main,body_default1,face_noblink,text,어떤 길을 택해도 그 끝이 죽음이라니.,All roads lead to death.,28,,,
1,67,28,main_tablecup,Dot,Main,body_default1,face_blink,text,"정말이지, 미치도록 인간의\n꿈이 되고 싶었단 말이야.",But I so longed to be a human’s dream.,29,,,
1,67,29,main_tablecup,Dot,Main,body_default1,face_noblink,text,"살아서, 살아남아서 가장 다채롭게\n완성되고 싶었단 말이야.","I wanted to live, live and be perfected\nas something entirely colorful.",30,,,
1,67,30,main_tablecup,Dot,Main,body_default1,face_noblink,text,"그런데, 그런데, 그런데.","Yet, yet, yet.",31,,,
1,67,31,main_tablecup,Dot,Main,body_default1,face_blink,text,왜 이렇게 모든 게 어렵고 숨 막히는 거야?\n왜 나는 하필 나여야만 하는 거야?,Why does everything have to be so hard and\nsuffocating? Why must I be <i>me</i>?,32,,,
1,67,32,main_tablecup,Player,Main,body_default1,face_noblink,text,내가 지금 해 줄 수 있는 게 많지는 않아.,There isn’t much I can do for you.,33,,,
1,67,33,main_tablecup,Player,Main,body_default1,face_noblink,text,"하지만, 너의 친구로서","But, as your friend,",34,,,
1,67,34,main_tablecup,Player,Main,body_default1,face_blink,selection,너의 마음을 들어 줄 수는 있어.|널 안전하게 지키려고 노력할 거야.,I can share your burden.|I will try to keep you safe.,35|35,,,passive|active
1,67,35,main_tablecup,Player,Main,body_default1,face_noblink,text,그러니 왜 물컵에 들어가야\n했던 건지 설명해 줘.,So tell me why you had to fit yourself in the cup.,36,,,
1,67,36,main_tablecup,Dot,Main,body_default1,face_noblink,text,……. 사실.,…… The truth is.,37,,,
1,67,37,main_tablecup,Dot,Main,body_default1,face_blink,text,사실.,The truth is.,38,,,
1,67,38,main_tablecup,Dot,Main,body_default1,face_noblink,text,…….,……,39,,,
1,67,39,main_tablecup,Dot,Main,body_default1,face_noblink,text,솟구치는 답답함을 해소하고 싶었어. 그 해방을\n위해서라면 내 몸쯤은 해쳐도 된다고 생각했어.,I wanted to relieve this surging frustration.\nI thought the relief would be worth the pain.,40,,,
1,67,40,main_tablecup,Dot,Main,body_default1,face_blink,text,며칠 전 만났던 그 인간. 그는 벽에 머리를 박으며,"The human I met before. He smashed\nhis head against the wall,",41,,,
1,67,41,main_tablecup,Dot,Main,body_default1,face_noblink,text,통증만큼이나 강한 해방감을 느끼는 것 같았어.,and seemed to feel a relief as strong as the pain.,42,,,
1,67,42,main_tablecup,Dot,Main,body_default1,face_noblink,text,미안해. 잘 설명할 수 없어.,I’m sorry. I’m having trouble explaining it.,43,,,
1,67,43,main_tablecup,Player,Main,body_default1,face_blink,selection,아니야. 잘하고 있어.|(침묵하며 듣는다.),"No, you’re doing well.|(Keep on listening.)",44|44,,,active|passive
1,67,44,main_tablecup,Dot,Main,body_default1,face_noblink,text,"마음이 무너져 내린 모든\n순간, 걷잡을 수 없는 새에","When my heart crumbled, in a fit of despair",45,,,
1,67,45,main_tablecup,Dot,Main,body_default1,face_noblink,text,그 해방에 대한 욕구가 날\n지배했다는 것만 기억나.,I remember the desire for relief taking control.,46,,,
1,67,46,main_tablecup,Dot,Main,body_default1,face_blink,text,"책장 벽에 머리를 박아 보기도\n했고, 피부를 쥐어뜯어 보기도 했어.","I’ve tried banging my head on\nthe wall, and ripping out my skin.",47,,,
1,67,47,main_tablecup,Dot,Main,body_default1,face_noblink,text,밤새 스스로를 해치는\n생각들을 하기도 했고….,Stayed up the night thinking of hurting myself…,48,,,
1,67,48,main_tablecup,Dot,Main,body_default1,face_noblink,text,나의 검정을 증오하며 깨끗한\n물에도 앉아 있어 봤지만.,"I’ve sat in clean water, loathing my blackness.",49,,,
1,67,49,main_tablecup,Dot,Main,body_default1,face_blink,text,보다시피 나아진 것 아무것도 없지.,"And as you can see, nothing’s changed.",50,,,
1,67,50,main_tablecup,Dot,Main,body_default1,face_noblink,text,"나는 꿈이 되어 죽게 될 테고, 여전히 징그러울\n지경으로 시커멓고, 해결된 의문은 단 하나도 없어.","I’ll die as a dream, and still be revoltingly\ndark. Not a single question resolved.",51,,,
1,67,51,main_tablecup,Dot,Main,body_default1,face_noblink,text,"이제 너는 나를 볼 때마다 이런 추잡한 장면을 함께 \n떠올리겠지. 제대로 할 줄 아는 것도 없는 거야, 나는.",Now when you see me you’ll recall this\nghastly scene. I can’t do anything right.,52,,,
1,67,52,main_tablecup,Player,Main,body_default1,face_blink,selection,(깊은 한숨을 쉰다.)|(따뜻하게 뭉치를 바라본다.),(Sigh deeply.)|(Look at Dot warmly.),53|55,,,moon|sun
