Sub,scriptNumber,lineKey,color,actor,dotAnim,TextType,TextKor,TextEng,NextLineKey,DeathNote,AfterScript,Exeption
1,3,1,0,Dot,anim_eyesblink,text,"<nickname>, 이게 뭐야?","<nickname>, what’s this?",2,,,
1,3,2,0,Dot,anim_eyescorner_turn,text,빵 위에 피어난 거뭇거뭇한 거.,This black smudge on\nthe piece of bread.,3,,,
1,3,3,0,Player,anim_eyesblink,selection,"으악, 곰팡이다!|저런, 곰팡이네.","Gah, mold!|Huh. Mold.",4|4,sun|moon,,
1,3,4,0,Player,anim_eyesblink,text,먹다 만 빵이 있었다는 걸\n까먹었어…. 버려야겠다.,I forgot I had some left-over\nbread. I should throw it away.,5,,,
1,3,5,0,Dot,anim_eyesblink,text,’곰팡이’가 뭐야? 네가\n이걸 싫어하는 게 느껴져.,What’s “mold”? I feel like you don’t like it.,6,,,
1,3,6,0,Player,anim_eyesblink,text,"곰팡이는 습하거나 어두운 곳, 상하거나\n썩은 음식 등에서 피어나는 생물이야.","It’s what grows in damp or dark\nplaces, or on spoiled or rotten food.",7,,,
1,3,7,0,Player,anim_eyesblink,text,"으, 미안해.",Sorry about that.,8,,,
1,3,8,0,Player,anim_eyesblink,text,지구에 온 첫날부터\n이런 걸 보게 하다니.,I hope you don’t get the wrong idea\nabout Earth on your first day here.,9,,,
1,3,9,0,Player,anim_eyesblink,text,얼른 치워야겠다. 그럼\n책상이 훨씬 깨끗해질 거야!,I’ll get rid of it. That’ll make\nthe desk much cleaner!,10,,,
1,3,10,0,Dot,anim_eyesdown,text,습하거나 어두운 곳….,Damp or dark places…,11,,,
1,3,11,0,Dot,anim_eyesblink,text,상하거나 썩은 음식?,Spoiled or rotten food?,12,,,
1,3,12,0,Dot,anim_eyesclosed,text,아. 아….,Oh. Oh….,13,,,
1,3,13,0,Dot,anim_eyesblink,text,…….,……,14,,,
1,3,14,0,Dot,anim_eyesblink,text,"<nickname>, 잠시만.","<nickname>, wait.",15,,,
1,3,15,0,Dot,anim_eyesblink,text,잠시만. 치우지 말아 줘.,Wait. Don’t throw it away.,16,,,
1,3,16,0,Dot,anim_eyesblink,text,"나, 얘와 시간을 보내 보고 싶어.",I’d like to spend time with it.,17,,,
1,3,17,0,Dot,anim_eyesblink,text,…….,…….,18,,,
1,3,18,0,Dot,anim_eyesblink,text,그래도 될까?,May I?,19,,,
1,3,19,0,Player,anim_eyesblink,text,응? 왜? 더럽고 징그럽지 않아?,But why? Isn’t it dirty and gross?,20,,,
1,3,20,0,Dot,anim_eyesblink,text,"부탁이야, <nickname>.","Please, <nickname>.",21,,,
1,3,21,0,Player,anim_eyesblink,text,‘며칠 동안은 괜찮겠지….’,‘If it’s just for a few days…’,22,,,
1,3,22,0,Player,anim_eyesblink,text,그래. 그렇게 하자.,Alright then.,23,,,
1,3,23,0,Dot,anim_eyescorner_turn,text,안녕?,Hello?,24,,,
1,3,24,0,Dot,anim_eyescorner,text,달에서 아주 끔찍한 오물을 봤어.,I saw terrible filth on the moon.,25,,,
1,3,25,0,Dot,anim_eyescorner,text,지구에도 그런 게 있니.\n너도 그곳에서 태어났어?,Is there filth on Earth as well?\nWere you born from it too?,26,,,
1,3,26,0,Dot,anim_eyescorner,text,… 넌 썩은 꿈의 시체에서도.\n피어날 수 있어?,Can you grow on the\ncorpses of rotten dreams?,27,,,
1,3,27,0,Dot,anim_eyescorner,text,넌 불결하고 냄새 나는\n것들을 두려워하지 않아?,"Are you not afraid of dirty,\nfoul-smelling things?",28,,,
1,3,28,0,Dot,anim_eyescorner,text,나도 두려워하지 않아?,Are you not afraid of me?,29,,,
1,3,29,0,Dot,anim_eyescorner,text,왜?,Why?,30,,,
1,3,30,0,Dot,anim_eyescorner,text,… 도대체 왜?,… What for?,31,,,
1,3,31,0,Dot,anim_eyescorner,text,이상해.,How very strange.,32,,,
1,3,32,0,Dot,anim_eyescorner,text,하지만 고마워.,But thank you.,33,,,
1,3,33,0,Dot,anim_eyescorner,text,좋다.,Really.,34,,,
1,3,34,0,Dot,anim_eyescorner,text,우리는 닮아 있어.,"We’re alike, you and me.",35,,,
1,3,35,0,Dot,anim_eyescorner,text,인간들이 친구라고 부르는\n걸 우리도 할 수 있겠어.,Perhaps we can be what\nhumans call friends.,,,,
2,4,36,0,Dot,anim_eyesblink,text,<nickname>!,<nickname>!,37,,,
2,4,37,0,Dot,anim_eyesblink,text,한껏 몰입하다 보면 <nickname>의\n발소리도 인식하지 못하는구나.,I was so absorbed I didn’t\neven hear your footsteps.,38,,,
