Main,ScriptKey,LineKey,Background,Actor,AnimState,DotAnim,DotExpression,TextType,KorText,EngText,NextLineKey,AnimScene,AfterScript,DeathNote
1,1,1,main_door_open,Dot,Main,body_default1,face_blink,text,오늘 어떤 남자를 만났어.,I met a man today.,2,,,
1,1,2,main_door_open,Dot,Main,body_default1,face_noblink,text,그런데 이상하지.,But there was something\nstrange about him.,3,,,
1,1,3,main_door_open,Dot,Main,body_default1,face_noblink,text,"그의 동공 속을 들여다본 순간, 나는 그\n속으로 빨려 들어가는 것 같았거든.","The moment I looked into\nhis eyes, I was sucked into them.",4,,,
1,1,4,main_door_open,Player,Main,body_default1,face_noblink,text,눈동자가 아름다워서?,Because they were so beautiful?,5,,,
1,1,5,main_door_open,Dot,Main,body_default1,face_blink,text,"아니, 그런 건 아니었어. 현실을 벗어나,\n그만의 세상 속 이야기가 펼쳐진 것 같았어.","No, not like that. It was as if his own world,\nhis own story was unfolding within his eyes.",6,,,
1,1,6,main_door_open,Player,Main,body_default1,face_noblink,text,(어…? 그게 뭐지? 초능력 같은 건가?),(What…? Can Dot read\nminds or something?),7,,,
1,1,7,main_door_open,Player,Main,body_default1,face_noblink,selection,꿈을 보고 온 걸까?|기억을 보고 온 걸까?,Do you think it was a dream?|Do you think it was a memory?,8|8,,,sun|moon
1,1,8,main_door_open,Dot,Main,body_default1,face_close_turn,text,꿈. 그건 그의 꿈이었을 거야.\n본능적으로 알 수 있었거든.,"Dream. It was his dream.\nI could tell, instinctively.",9,,,
1,1,9,main_door_open,Dot,Main,body_default1,face_close,text,완성되어 비로소 인간과 하나된 꿈을\n경험하고 오는 건 영광스러웠지만…,"It was glorious, experiencing an actual\nfinished dream that had become one with a human.",10,,,
1,1,10,main_door_open,Dot,Main,body_default1,face_close,text,슬프게도 그의 꿈은 악몽에 더 가까운 존재였지.,"But sadly, his dream was\nmore of a nightmare.",11,1,,
1,1,11,main_door_open,Player,Main,body_default1,face_close,text,사랑해 대신 외계어만 나오는 사람이라니.,Someone who speaks gibberish\ninstead of saying ‘I love you.’,12,,,
1,1,12,main_door_open,Player,Main,body_default1,face_open,text,내 연인이 나에게 평생 사랑한다는\n말을 해 주지 않는다….,My lover not being able\nto say ‘I love you’ to me…,13,,,
1,1,13,main_door_open,Player,Main,body_default1,face_blink,selection,나 역시 조금은 외로울 것 같아.|사실 난 아무렴 상관없을 것 같네.,I would feel a little lonely too.|I don’t think I would mind that much.,14|17,,,
1,1,14,main_door_open,Dot,Main,body_default1,face_noblink,text,왜?,Why?,15,,,sun|moon
1,1,15,main_door_open,Dot,Main,body_default1,face_noblink,text,‘사랑해’가 그렇게 대단한 거야?,Is ‘I love you’ that special?,16,,,
1,1,16,main_door_open,Player,Main,body_move,face_blink,text,나를 포함한… 대부분의 인간에겐\n아주 중요한 문장일 거야.,It’s probably an important phrase\nfor most humans…including me.,22,,,
1,1,17,main_door_open,Player,Main,body_default1,face_noblink,text,‘사랑해’라는 피상적인 말보다\n중요한 것들은 많으니까.,There are more valuable things in\nlove than a superficial ‘I love you’.,18,,,
1,1,18,main_door_open,Player,Main,body_default1,face_noblink,text,하지만 외로움을 느끼는 사람들을\n이해하지 못하는 건 아니야.,"But I can understand where they’re\ncoming from. The ones who feel lonely, I mean.",19,,,
1,1,19,main_door_open,Dot,Main,body_default1,face_blink,text,<nickname>의 너른 이해심.\n포용력. 자유로운 시선.,<nickname>’s understanding mind.\nSympathy. It’s a freeing view.,20,,,
1,1,20,main_door_open,Player,Main,body_default1,face_noblink,selection,"(부끄럽다. 웃음으로 넘긴다.)|나만큼 이해심 깊은 사람도 없어, 하하.","(This is embarrassing. Laugh and brush it off.)|I mean, I <i>am</i> the most understanding person I know.",21|21,,,
1,1,21,main_door_open,Player,Main,body_default1,face_noblink,text,대부분의 인간에겐 아주 중요한 문장일 거야.,It’s probably an important\nphrase for most people.,22,,,passive|active
1,1,22,main_door_open,Player,Main,body_default1,face_blink,text,‘사랑해’는…,‘I love you’ is…,23,,,
1,1,23,main_door_open,Player,Main,body_default1,face_noblink,selection,"낭만의 결정체, 사랑의 증표거든.|사랑을 표현하는 가장 투명한 수단이거든.","the essence of romance, the evidence of love.|the most transparent way to express love.",24,,,
1,1,24,main_door_open,Player,Main,body_default1,face_noblink,text,사랑해. 사랑해. 이보다 사랑의 마음을\n잘 상징할 수 있는 문장은 없으니까.,I love you. I love you. No other phrase\ncould better represent the feeling of love.,25,,,sun|moon
1,1,25,main_door_open,Dot,Main,body_default1,face_blink,text,그럼… 그렇다면 ‘사랑’이란 건 뭔데?,Then… then what is ‘love?’,26,,,
1,1,26,main_door_open,Player,Main,body_default1,face_blink,text,사랑은…,Love is…,27,,,
1,1,27,main_door_open,Player,Main,body_default1,face_noblink,text,"음, 뭉치는 연인 간의\n사랑이 궁금한 것 맞지?","You want to know about the\nlove between lovers, right?",28,,,
1,1,28,main_door_open,Dot,Main,body_default1,face_blink,text,"응, 내가 오늘 보고 온 남자와\n그의 연인들이 공유하던 그것!","Yes, what was shared between the\nman I saw today and his lovers!",29,,,
1,1,29,main_door_open,Player,Main,body_default1,face_noblink,text,대부분의 인간에게 ‘사랑’은 타인을 특별하고\n유일하게 여기게 만드는 힘인 것 같아.,I think most people treat ‘love’ as a force\nthat makes its receiver very special and singular.,30,,,
1,1,30,main_door_open,Player,Main,body_default1,face_noblink,textbox,"보다 개인적인 정의를 하자면, 나에게 사랑은…","Personally, I think love is…",31,,,
1,1,31,main_door_open,Player,Main,body_default1,face_blink,text,그런데 한쪽만 상대를 사랑한다면\n그건 외롭고 슬프겠지?,"So if that love is unrequited,\nwouldn’t it be lonely and sad?",32,,,
1,1,32,main_door_open,Dot,Main,body_default1,face_noblink,text,"응, 응, 응응, 응 응. 사무칠 거야.","Yes, yes, yes. It would be devastating.",33,,,
1,1,33,main_door_open,Dot,Main,body_default1,face_noblink,text,먹구름을 솜사탕같이 뜯어\n먹어야만 하던 오후처럼.,Like the gloomy taste of\ndark afternoon clouds…,34,,,
1,1,34,main_door_open,Dot,Main,body_default1,face_blink,text,지구를 홀로 사랑하며 공전하는 달처럼….,"Like the lonely orbit of the Moon,\ndevoted to its planet so blue.",35,,,
1,1,35,main_door_open,Dot,Main,body_default1,face_close_turn,text,매일이 회빛일 거야.,Every day would be grey.,36,,,
1,1,36,main_door_open,Player,Main,body_default1,face_close,text,(지구를 홀로 사랑하는 달이라….),(The lonely orbit of the Moon….),37,,,
1,1,37,main_door_open,Player,Main,body_default1,face_close,selection,(낭만적인 상상이네.)|(흥미로운 관점이네.),(A romantic thought.)|(An interesting perspective.),38|38,,,
1,1,38,main_door_open,Player,Main,body_default1,face_open,text,"응, 하지만 애인과 사랑한다는\n말을 주고받는 순간에는","Anyway, the moment you\nhear or say ‘I love you,’",39,,,sun|moon
