Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption
1,39,1,0,Dot,,anim_sub_ch7_1,text,…….,……,2,,,
1,39,2,0,Dot,,anim_sub_ch7_1,text,곰팡이.,Mold.,3,,,
1,39,3,0,Dot,,anim_sub_ch7_1,text,창문 너머로 불어오는 바람을 온몸으로\n맞이하다 먼지 투성이가 되어 버렸어.,"Confronting the wind ripping through the\nopen window, I’m now covered in dust.",4,,,
1,39,4,0,Dot,,anim_sub_ch7_1,text,"음, 음, 아주 신선한 경험이야. 도시\n곳곳을 다녔지만 이런 적은 처음이었어.","Hm. Hm. It’s a novel experience. I’ve seen the\ncity’s nooks and crannies, but this was a first.",5,,,
1,39,5,0,Dot,,anim_sub_ch7_1,text,바람이 얼마나 맹렬하던지!,Such fierce winds!,6,,,
1,39,6,0,Dot,,anim_sub_ch7_1,text,….,…,7,,,
1,39,7,0,Dot,,anim_sub_ch7_1,text,…….,……,8,,,
1,39,8,0,Dot,,anim_sub_ch7_1,text,"모쪼록, 그러니까.",So. What I mean is.,9,,,
1,39,9,0,Dot,,anim_sub_ch7_1,text,나는! 나는 기분이 좋아.,I feel! I feel happy.,10,,,
1,39,10,0,Dot,,anim_sub_ch7_1,text,<nickname>에게도 선언했지. 아주 달콤하고\n부드러운 솜사탕이 된 것만 같다고.,"I’ve told you before. It feels like I’ve\nbecome the sweetest, fluffiest cotton candy.",11,,,
1,39,11,0,Dot,,anim_sub_ch7_1,text,"식감도 얼마나 다채롭겠어?\n오독오독, 말캉말캉.","How would I feel in someone’s\nmouth? Crunchy, or squishy?",12,,,
1,39,12,0,Dot,,anim_sub_ch7_1,text,…….,……,13,,,
1,39,13,0,Dot,,anim_sub_ch7_1,text,…….,……,14,,,
1,39,14,0,Dot,,anim_sub_ch7_1,text,거짓말하지 말라고?,What? “Don’t lie?”,15,,,
1,39,15,0,Dot,,anim_sub_ch7_1,text,….,…,16,,,
1,39,16,0,Dot,,anim_sub_ch7_1,text,아.,Oh.,17,,,
1,39,17,0,Dot,,anim_sub_ch7_1,text,"하하하, 그렇게 보여?\n아니야. 나는 웃고 있잖아?","Haha, you must be mistaken.\nI’m smiling, you see?",18,,,
1,39,18,0,Dot,,anim_sub_ch7_1,text,……,……,19,,,
1,39,19,0,Dot,,anim_sub_ch7_1,text,…….,……,20,,,
1,39,20,0,Dot,,anim_sub_ch7_1,text,"…… 그래, 네 말이 맞는 것 같지.",…… You’re right.,21,,,
1,39,21,0,Dot,,anim_sub_ch7_1,text,전부 거짓말이야. 나 행복하지 않아.,It’s all a lie. I’m not happy.,22,,,
1,39,22,0,Dot,,anim_sub_ch7_1,text,실은 하나도 달콤하고\n부드럽지 않을 거야.,I won’t be sweet or soft. At all.,23,,,
1,39,23,0,Dot,,anim_sub_ch7_1,text,따갑고 가려울 거야. 내가 견뎌야 할 모든\n시간에서 아주 아주 불쾌한 오물 맛이 날 거야.,It’ll be prickly and itchy. All the hours I’ll endure\nwill taste like very very unpleasant waste.,24,,,
1,39,24,0,Dot,,anim_sub_ch7_1,text,… 이미 끔찍하게 유착되어\n버린 거면 어쩌지.,… What if it has already\nhorribly clung to me?,25,,,
1,39,25,0,Dot,,anim_sub_ch7_1,text,"신경을 잘근잘근 물어뜯는 빈대 같은 감각으로\n남아, 영원히 영원히 날 괴롭힐 거라면.","What if it will remain as a nerve-gnawing,\nbedbug-like feeling and plague me forever and ever?",26,,,
1,39,26,0,Dot,,anim_sub_ch7_1,text,그건 싫어.,I don’t want that.,27,,,
